city,team1,team2,toss_winner,toss_decision,winner,eliminator,method
NA,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Y,normal
NA,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,Y,normal
NA,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,N,normal
NA,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Delhi Capitals,N,normal
NA,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,field,Punjab Kings,N,normal
NA,Gujarat Titans,Lucknow Supergiants,Gujarat Titans,field,Gujarat Titans,N,normal
NA,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Rajasthan Royals,N,normal
NA,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Royal Challengers Bangalore,N,normal
NA,Lucknow Supergiants,Chennai Super Kings,Lucknow Supergiants,field,Lucknow Supergiants,N,normal
NA,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Kolkata Knight Riders,N,normal
NA,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Rajasthan Royals,N,normal
NA,Gujarat Titans,Delhi Capitals,Delhi Capitals,field,Gujarat Titans,N,normal
NA,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,Punjab Kings,N,normal
NA,Sunrisers Hyderabad,Lucknow Supergiants,Sunrisers Hyderabad,field,Lucknow Supergiants,N,normal
NA,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,N,normal
NA,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Kolkata Knight Riders,N,normal
NA,Lucknow Supergiants,Delhi Capitals,Lucknow Supergiants,field,Lucknow Supergiants,N,normal
NA,Punjab Kings,Gujarat Titans,Punjab Kings,field,Gujarat Titans,N,normal
NA,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,N,normal
NA,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,N,normal
NA,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,Delhi Capitals,N,normal
NA,Rajasthan Royals,Lucknow Supergiants,Lucknow Supergiants,field,Rajasthan Royals,N,normal
NA,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Sunrisers Hyderabad,N,normal
NA,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Chennai Super Kings,N,normal
NA,Mumbai Indians,Punjab Kings,Mumbai Indians,field,Punjab Kings,N,normal
NA,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,field,Gujarat Titans,N,normal
NA,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,Sunrisers Hyderabad,N,normal
NA,Mumbai Indians,Lucknow Supergiants,Mumbai Indians,field,Lucknow Supergiants,N,normal
NA,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,Royal Challengers Bangalore,N,normal
NA,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,N,normal
NA,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Gujarat Titans,N,normal
NA,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,N,normal
NA,Lucknow Supergiants,Royal Challengers Bangalore,Lucknow Supergiants,field,Royal Challengers Bangalore,N,normal
NA,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Delhi Capitals,N,normal
NA,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,N,normal
NA,Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,Rajasthan Royals,N,normal
NA,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,bat,Gujarat Titans,N,normal
NA,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,N,normal
NA,Lucknow Supergiants,Mumbai Indians,Mumbai Indians,field,Lucknow Supergiants,N,normal
NA,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Punjab Kings,N,normal
NA,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,Rajasthan Royals,N,normal
NA,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,field,Gujarat Titans,N,normal
NA,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Delhi Capitals,N,normal
NA,Punjab Kings,Lucknow Supergiants,Punjab Kings,field,Lucknow Supergiants,N,normal
NA,Gujarat Titans,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Gujarat Titans,N,normal
NA,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,N,normal
NA,Delhi Capitals,Lucknow Supergiants,Lucknow Supergiants,bat,Lucknow Supergiants,N,normal
NA,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Chennai Super Kings,N,normal
NA,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,N,normal
NA,Gujarat Titans,Punjab Kings,Gujarat Titans,field,Punjab Kings,N,normal
NA,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,N,normal
NA,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Delhi Capitals,N,normal
NA,Gujarat Titans,Mumbai Indians,Gujarat Titans,field,Mumbai Indians,N,normal
NA,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,Rajasthan Royals,N,normal
NA,Lucknow Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,field,Lucknow Supergiants,N,normal
NA,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,N,normal
NA,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,N,normal
NA,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Kolkata Knight Riders,N,normal
NA,Lucknow Supergiants,Gujarat Titans,Gujarat Titans,bat,Gujarat Titans,N,normal
NA,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,N,normal
NA,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,N,normal
NA,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,field,Punjab Kings,N,normal
NA,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,N,normal
NA,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,bat,Gujarat Titans,N,normal
NA,Lucknow Supergiants,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,N,normal
NA,Punjab Kings,Delhi Capitals,Punjab Kings,field,Delhi Capitals,N,normal
NA,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Sunrisers Hyderabad,N,normal
NA,Kolkata Knight Riders,Lucknow Supergiants,Lucknow Supergiants,bat,Lucknow Supergiants,N,normal
NA,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,bat,Royal Challengers Bangalore,N,normal
NA,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Rajasthan Royals,N,normal
NA,Mumbai Indians,Delhi Capitals,Mumbai Indians,field,Mumbai Indians,N,normal
NA,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,Punjab Kings,N,normal
NA,Gujarat Titans,Rajasthan Royals,Gujarat Titans,field,Gujarat Titans,Y,normal
NA,Lucknow Supergiants,Royal Challengers Bangalore,Lucknow Supergiants,field,Royal Challengers Bangalore,Y,normal
NA,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Rajasthan Royals,Y,normal
NA,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,bat,Gujarat Titans,Y,normal
