city,team1,team2,toss_winner,toss_decision,winner,eliminator,method
NA,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,N,normal
NA,Punjab Kings,Rajasthan Royals,Punjab Kings,field,Rajasthan Royals,N,normal
NA,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,Delhi Capitals,N,normal
NA,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,N,normal
NA,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,N,normal
NA,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Chennai Super Kings,N,D/L
NA,Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,Delhi Capitals,N,normal
NA,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Punjab Kings,N,normal
NA,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Chennai Super Kings,N,normal
NA,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,N,normal
NA,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Delhi Capitals,N,normal
NA,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,N,normal
NA,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Royal Challengers Bangalore,N,normal
NA,Punjab Kings,Mumbai Indians,Punjab Kings,bat,Mumbai Indians,N,normal
NA,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,Delhi Capitals,N,normal
NA,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Royal Challengers Bangalore,N,normal
NA,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,N,normal
NA,Delhi Capitals,Punjab Kings,Punjab Kings,field,Punjab Kings,N,normal
NA,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Chennai Super Kings,N,normal
NA,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,Sunrisers Hyderabad,N,normal
NA,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,field,Punjab Kings,N,normal
NA,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Delhi Capitals,N,normal
NA,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,N,normal
NA,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,bat,Royal Challengers Bangalore,N,normal
NA,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,N,normal
NA,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Chennai Super Kings,N,normal
NA,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Delhi Capitals,N,normal
NA,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,N,normal
NA,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,N,normal
NA,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,Royal Challengers Bangalore,N,normal
NA,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,Sunrisers Hyderabad,N,normal
Mumbai,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,Kolkata Knight Riders,N,normal
Mumbai,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,N,normal
Mohali,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,N,normal
Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Kolkata Knight Riders,N,normal
Chennai,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,N,normal
Ahmedabad,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,N,normal
Bangalore,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,bat,Royal Challengers Bangalore,N,normal
Kolkata,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,N,normal
Delhi,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Mumbai Indians,N,normal
Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,Royal Challengers Bangalore,N,normal
Delhi,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Chennai Super Kings,N,normal
NA,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Sunrisers Hyderabad,N,normal
Ahmedabad,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,N,normal
Mumbai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,N,normal
NA,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,N,normal
Chennai,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,Punjab Kings,Y,normal
Mumbai,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,Mumbai Indians,N,normal
Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,N,normal
Mohali,Punjab Kings,Rajasthan Royals,Punjab Kings,field,Rajasthan Royals,N,normal
Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,N,normal
Ahmedabad,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Rajasthan Royals,N,normal
Mohali,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,N,normal
Bangalore,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,Delhi Capitals,N,normal
Ahmedabad,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,N,normal
Mumbai,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Mumbai Indians,N,normal
Delhi,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Delhi Capitals,N,normal
Mumbai,Mumbai Indians,Punjab Kings,Mumbai Indians,field,Mumbai Indians,N,normal
Chennai,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Chennai Super Kings,N,normal
Delhi,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Delhi Capitals,N,normal
Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,N,normal
Mohali,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,bat,Royal Challengers Bangalore,N,normal
Chennai,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings,N,normal
Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,N,normal
Kolkata,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,Punjab Kings,N,normal
Delhi,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,Delhi Capitals,N,normal
NA,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,N,normal
Chennai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,N,normal
Jaipur,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Rajasthan Royals,N,normal
Kolkata,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Kolkata Knight Riders,N,normal
Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,N,normal
Mohali,Punjab Kings,Mumbai Indians,Mumbai Indians,bat,Punjab Kings,N,normal
NA,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,bat,Sunrisers Hyderabad,N,normal
Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Royal Challengers Bangalore,N,normal
Delhi,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Punjab Kings,N,normal
Jaipur,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Mumbai Indians,N,normal
